Name,id,Avg. Humidity,,,ase,nai
Maldives,202137,73.95774648,,,202137,202133
Mali,202138,11.70422535,,,202138,202135
Malta,202139,73.69014085,,,202139,
Mauritania,202142,34.33802817,,,202142,
Mauritius,202143,79.8028169,,,202143,202140
Mexico,202145,40.6056338,,,202145,202141
Moldova (Republic of),202147,62.6056338,,,202147,202144
Monaco,202148,61.94366197,,,202148,202146
Mongolia,202149,77.35211268,,,202149,
Montenegro,202150,66.02816901,,,202150,
Morocco,202152,72.74647887,,,202152,
Mozambique,202153,72.6056338,,,202153,202151
Myanmar,202154,68.42253521,,,202154,
Namibia,202155,49.6056338,,,202155,
Nepal,202157,63.88732394,,,202157,
Netherlands,202158,76.87323944,,,202158,202156
New Zealand,202160,79.52112676,,,202160,
Nicaragua,202161,62.64788732,,,202161,202159
Niger,202162,10.97183099,,,202162,
Nigeria,202163,22.84507042,,,202163,
Norway,202168,77.3943662,,,202168,
Oman,202169,56.95774648,,,202169,202164
Pakistan,202170,54.90140845,,,202170,202165
Panama,202173,77.21126761,,,202173,202166
Papua New Guinea,202174,78.57746479,,,202174,202167
Paraguay,202175,51.33802817,,,202175,202171
Peru,202176,74.76056338,,,202176,202172
Philippines,202177,65.33802817,,,202177,
Poland,202179,67.05633803,,,202179,
Portugal,202180,74.77464789,,,202180,202178
Qatar,202182,56.23943662,,,202182,
Romania,202185,60.63380282,,,202185,202181
Russian Federation,202186,81.66197183,,,202186,202184
Rwanda,202187,81.69014085,,,202187,
Saint Kitts and Nevis,202190,75.35211268,,,202190,
Saint Lucia,202191,75.09859155,,,202191,202189
Saint Vincent and the Grenadines,202194,76.3943662,,,202194,
San Marino,202196,68.08450704,,,202196,
Saudi Arabia,202198,25.33802817,,,202198,202195
Senegal,202199,65.35211268,,,202199,202197
Serbia,202200,63.18309859,,,202200,
Seychelles,202201,74.07042254,,,202201,
Sierra Leone,202202,72.95774648,,,202202,
Singapore,202203,76.23943662,,,202203,
Slovakia,202205,69.22535211,,,202205,
Slovenia,202206,77.30985915,,,202206,
Somalia,202208,76.25352113,,,202208,
South Africa,202209,47.50704225,,,202209,202207
Spain,202213,64.97183099,,,202213,
Sri Lanka,202214,71.52112676,,,202214,202211
Sudan,202215,13.53521127,,,202215,
Suriname,202216,76.38028169,,,202216,
Sweden,202219,73.6056338,,,202219,
Switzerland,202220,77.29577465,,,202220,202217
Syrian Arab Republic,202221,60.3943662,,,202221,202218
Taiwan,202222,60.22535211,,,202222,
"Tanzania, United Republic of",202224,86.57746479,,,202224,
Thailand,202225,53.94366197,,,202225,202223
Timor-Leste,202226,82.92957746,,,202226,
Togo,202227,68.70422535,,,202227,
Trinidad and Tobago,202230,78.42253521,,,202230,
Tunisia,202231,68.21126761,,,202231,202228
Turkey,202232,67.29577465,,,202232,202229
Uganda,202236,72.85915493,,,202236,
Ukraine,202237,71.1971831,,,202237,202233
United Arab Emirates,202238,53.33802817,,,202238,202234
United Kingdom of Great Britain and Northern Ireland,202239,81.21126761,,,202239,202235
United States of America,202240,80.25352113,,,202240,
Uruguay,202241,57.35211268,,,202241,
Uzbekistan,202242,51.15492958,,,202242,
Venezuela (Bolivarian Republic of),202244,79.54929577,,,202244,
Viet Nam,202245,74.29577465,,,202245,202243
Zambia,202249,86.28169014,,,202249,202246
Zimbabwe,202250,74.56338028,,,202250,202247
Congo (Brazzaville),202054,68.84507042,,,202054,202248
Congo (Kinshasa),202055,68.84507042,,,202055,
